Series,,Number,,Year,,,
The Phantom,,22,-1,2008,,,
The Phantom,,22,-1,2008,,,
The Phantom,,23,-1,2008,,,
The Phantom,,24,-1,2008,,,
The Phantom,,14,-1,2007,,,
The Phantom - Ghost Who Walks,,11,-1,2010,,,
The Phantom - Ghost Who Walks,,12,-1,2010,,,
Pink Floyd Experience,,,-1,2010,,,
The Pirates of Coney Island,,4,-1,2007,,,
The Pirates of Coney Island,,5,-1,2007,,,
The Pirates of Coney Island,,6,-1,2007,,,
Plan  From Outer Space,,9,-1,1990,,,
Poison Elves   limited edition cover,,80,2,2008,,,
Poison Elves presents - Songs in the Key of Satan minicomic,,,-1,2008,,,
Power Girl,,18,-1,2011,,,
Power Girl,,19,-1,2011,,,
Power Girl,,20,-1,2011,,,
Powerpuff Girls,,15,-1,2001,,,
Powerpuff Girls,,16,-1,2001,,,
Prehistoric Times,,95,-1,2010,,,
Prey,,1,-1,1991,,,
The Prince of Heroes,,1,-1,2008,,,
The Prince of Heroes,,2,-1,2008,,,
The Prince of Heroes,,3,-1,2008,,,
Professor Xavier and the X-Men,,1,-1,1995,,,
Professor Xavier and the X-Men,,2,-1,1995,,,
Professor Xavier and the X-Men,,3,-1,1996,,,
Professor Xavier and the X-Men,,4,-1,1996,,,
Professor Xavier and the X-Men,,5,-1,1996,,,
Professor Xavier and the X-Men,,6,-1,1996,,,
Professor Xavier and the X-Men,,7,-1,1996,,,
Professor Xavier and the X-Men,,8,-1,1996,,,
Professor Xavier and the X-Men,,9,-1,1996,,,
Professor Xavier and the X-Men,,10,-1,1996,,,
Professor Xavier and the X-Men,,11,-1,1996,,,
Professor Xavier and the X-Men,,12,-1,1996,,,
Professor Xavier and the X-Men,,13,-1,1996,,,
Professor Xavier and the X-Men,,14,-1,1996,,,
The Programme,,1,-1,2007,,,
The Programme,,1,-1,2007,,,
The Programme,,2,-1,2007,,,
The Programme,,2,-1,2007,,,
The Programme,,3,-1,2007,,,
The Programme,,4,-1,2007,,,
The Programme,,4,-1,2007,,,
The Programme,,5,-1,2008,,,
The Programme,,5,-1,2008,,,
The Programme,,6,-1,2008,,,
The Programme,,6,-1,2007,,,
The Programme,,7,-1,2008,,,
The Programme,,7,-1,2008,,,
The Programme,,8,-1,2008,,,
The Programme,,8,-1,2008,,,
The Programme,,8,-1,2008,,,
The Programme,,8,-1,2008,,,
The Programme,,9,-1,2008,,,
The Programme,,9,-1,2008,,,
The Programme,,9,-1,2008,,,
The Programme,,10,-1,2008,,,
The Programme,,10,-1,2008,,,
The Programme,,10,-1,2008,,,
The Programme,,11,-1,2007,,,
The Programme,,12,-1,2008,,,
The Programme,,12,-1,2008,,,
The Programme 09,,1,-1,2008,,,
Project Superpowers - The Death Defying Devil,,,-1,2008,,,
The Punisher,,46,-1,2007,,,
The Punisher,,59,-1,2008,,,
The Punisher - Force of Nature,,,-1,2008,,,
The Punisher - Force of Nature One-Shot,,,-1,2008,,,
The Punisher Presents - Barracuda,,1,-1,2007,,,
The Punisher Presents - Barracuda,,2,-1,2007,,,
The Punisher Presents - Barracuda,,3,-1,2007,,,
The Punisher Presents - Barracuda,,4,-1,2007,,,
The Punisher Presents - Barracuda,,5,-1,2007,,,
Queen Sonja,,13,-1,2011,,,
Queen Sonja,,13,-1,2011,,,
The Quest - Evil's Dawn,,1,-1,2007,,,
Quit Your Job,,,-1,1998,,,
R.E.B.E.L.S,,23,-1,2011,,,
Radio Times,,12,-1,2008,,,
Rage - Gay Crusader,,1,-1,2002,,,
The Rage of Thor,,,-1,2010,,,
The Rage of Thor,,,-1,2010,,,
Ragman - Suit of Souls,,,-1,2010,,,
Ragman - Suit of Souls,,1,-1,2010,,,
Ragman - Suit of Souls,,1,-1,2010,,,
Raise the Dead,,1,2,2010,,,
Raise the Dead,,2,2,2010,,,
Raise the Dead II,,2,-1,2010,,,
Rann-Thanagar Holy War,,1,-1,2008,,,
Rann-Thanagar Holy War,,2,-1,2008,,,
RASL,,1,-1,2008,,,
Rasl,,1,-1,2008,,,
RASL,,2,-1,2008,,,
Rasl,,9,-1,2010,,,
RASL,,9,-1,2010,,,
Ratchet & Clank,,1,-1,2010,,,
Ratchet & Clank,,1,-1,2010,,,
Ratchet & Clank,,4,-1,2011,,,
Ratchet & Clank,,5,-1,2011,,,
Ratchet and Clank,,1,-1,2010,,,
Ratchet and Clank,,1,-1,2010,,,
Ratchet and Clank,,1,-1,2010,,,
Ratchet and Clank,,2,-1,2010,,,
Ratchet and Clank,,2,-1,2010,,,
Ratchet and Clank,,2,-1,2010,,,
Ratchet and Clank,,3,-1,2010,,,
Ratchet and Clank,,3,-1,2010,,,
Ratchet and Clank,,3,-1,2010,,,
Ratchet and Clank,,4,-1,2011,,,
Ratchet and Clank,,4,-1,2011,,,
Ratchet and Clank,,5,-1,2011,,,
Ratchet and Clank,,5,-1,2011,,,
The Raven's Flight,,1,-1,2002,,,
The Raven's Flight,,2,-1,2005,,,
The Rawhide Kid,,3,-1,2010,,,
The Rawhide Kid,,4,-1,2010,,,
Razor Keepsake Collection,,,-1,1996,,,
Re-Animator - Dawn of the Re-Animator,,1,-1,1992,,,
Re-Animator - Dawn of the Re-Animator,,2,-1,1992,,,
Re-Animator - Dawn of the Re-Animator,,3,-1,1992,,,
REBELS,,19,-1,2010,,,
REBELS,,20,-1,2010,,,
REBELS,,21,-1,2010,,,
REBELS,,22,-1,2011,,,
REBELS,,23,-1,2011,,,
REBELS,,24,-1,2011,,,
Recess Pieces,,,-1,2006,,,
Red - Eyes Only,,,-1,2011,,,
Red - Eyes Only,,,-1,2011,,,
Red - Frank,,,-1,2010,,,
Red - Frank,,,-1,2010,,,
Red - Joe,,,-1,2010,,,
Red - Joe,,,-1,2010,,,
Red - Marvin,,,-1,2010,,,
Red - Marvin,,,-1,2010,,,
Red - Victoria,,,-1,2010,,,
Red - Victoria,,,-1,2010,,,
Red Hood- The Lost Days,,3,-1,2010,,,
Red Hood- The Lost Days,,3,-1,2010,,,
Red Hood- The Lost Days,,4,-1,2010,,,
Red Hood- The Lost Days,,4,-1,2010,,,
Red Hood- The Lost Days,,5,-1,2010,,,
Red Hood- The Lost Days,,5,-1,2010,,,
Red Hood- The Lost Days,,6,-1,2010,,,
Red Hood - The Lost Days,,3,-1,2010,,,
Red Hood - The Lost Days,,4,-1,2010,,,
Red Hood - The Lost Days,,5,-1,2010,,,
Red Hood - The Lost Days,,5,-1,2010,,,
Red Hood - The Lost Days,,5,-1,2010,,,
Red Hood - The Lost Days,,6,-1,2011,,,
Red Hood - The Lost Days,,6,-1,2011,,,
Red Hood - The Lost Days,,6,-1,2011,,,
Red Menace,,3,-1,2007,,,
Red Menace,,5,-1,2007,,,
Red Menace,,5,-1,2007,,,
Red Prophet - Tales of Alvin Maker,,5,-1,2007,,,
Red Prophet - Tales of Alvin Maker,,6,-1,2007,,,
Red Prophet - Tales of Alvin Maker,,7,-1,2007,,,
Red Prophet - Tales of Alvin Maker,,8,-1,2007,,,
Red Prophet - Tales of Alvin Maker,,10,-1,2007,,,
Red Prophet - Tales of Alvin Maker,,10,-1,2007,,,
Red Robin,,15,-1,2010,,,
Red Robin,,15,-1,2010,,,
Red Robin,,15,-1,2010,,,
Red Robin,,16,-1,2010,,,
Red Robin,,16,-1,2010,,,
Red Robin,,16,-1,2010,,,
Red Robin,,17,-1,2011,,,
Red Robin,,17,-1,2010,,,
Red Robin,,17,-1,2010,,,
Red Robin,,17,-1,2011,,,
Red Robin,,18,-1,2011,,,
Red Robin,,18,-1,2011,,,
Red Robin,,18,-1,2011,,,
Red Robin,,19,-1,2011,,,
Red Robin,,19,-1,2011,,,
Red Sonja,,21,-1,2007,,,
Red Sonja,,22,-1,2007,,,
Red Sonja,,23,-1,2007,,,
Red Sonja,,24,-1,2007,,,
Red Sonja,,27,-1,2007,,,
Red Sonja,,28,-1,2007,,,
Red Sonja,,31,-1,-1,,,
Red Sonja,,31,-1,-1,,,
Red Sonja,,31,-1,2008,,,
Red Sonja,,32,-1,2008,,,
Red Sonja,,51,-1,2010,,,
Red Sonja,,51,-1,2010,,,
Red Sonja,,51,-1,2010,,,
Red Sonja,,52,-1,2010,,,
Red Sonja,,53,-1,2010,,,
Red Sonja,,53,-1,2010,,,
Red Sonja,,1,-1,2007,,,
Red Sonja   Whitewolf-DCP,,27,-1,2007,,,
Red Sonja Variant Cover Pack,,16,-1,2007,,,
The Red Star - Sword Of Lies,,2,-1,2007,,,
The Redeemer,,1,-1,2002,,,
The Redeemer,,3,-1,2002,,,
The Redeemer,,3,-1,2002,,,
The Redeemer,,4,-1,2002,,,
Reggie and Me 021,,12,-1,1966,,,
Reggie and Me 107,,8,-1,1978,,,
Reich,,7,-1,2010,,,
Reign of Doomsday - Steel,,1,-1,2011,,,
Repo,,1,-1,2007,,,
Repo,,2,-1,2007,,,
Repo,,3,-1,2007,,,
Resident Evil,,6,-1,2010,,,
Resident Evil,,6,-1,2010,,,
Resident Evil,,6,-1,2010,,,
Resurrection,,1,-1,2007,,,
Resurrection,,1,-1,2007,,,
Resurrection,,2,-1,2008,,,
Resurrection,,2,-1,2008,,,
Resurrection,,3,-1,2008,,,
Resurrection,,4,-1,2008,,,
Retief,,6,-1,1990,,,
The Return of King Doug,,,-1,2009,,,
Richie Rich Zillionz 018,,10,-1,1979,,,
The Ride - Die Valkyrie,,1,-1,2007,,,
The Ride - Die Valkyrie,,2,-1,2007,,,
The Ride - Die Valkyrie,,3,-1,2008,,,
The Ride - Halloween Special,,,-1,2007,,,
The Ride - Savannah,,,-1,2007,,,
The Ride - The Key to Survival,,1,-1,2007,,,
The Ride   - Foreign Parts,,1,3,2004,,,
The Ride   - Two for the Road,,1,2,2004,,,
The Risen and the Dead,,1,-1,1999,,,
Roadkill,,,-1,1993,,,
Robert E. Howard's Hawks of Outremer,,4,-1,2010,,,
Robert Jordan's Wheel of Time - Eye of the World,,1.5,-1,2011,,,
Robert Jordan's Wheel Of Time - The Eye Of The World,,1.5,-1,2010,,,
Robert Jordan's Wheel Of Time - The Eye Of The World,,5,-1,2010,,,
Robert Jordan's Wheel of Time - The Eye of the World,,6,-1,2010,,,
Robert Jordan's Wheel Of Time - The Eye Of The World,,6,-1,2010,,,
Robert Jordan's Wheel Of Time - The Eye Of The World,,7,-1,2010,,,
Robin,,159,-1,2007,,,
Robin,,160,-1,2007,,,
Robin,,161,-1,2007,,,
Robin,,162,-1,2007,,,
Robin,,163,-1,2007,,,
Robin,,163,-1,2007,,,
Robin,,164,-1,2007,,,
Robin,,166,-1,2007,,,
Robin,,168,-1,2008,,,
Robin,,169,-1,2007,,,
Robin,,169,-1,2008,,,
Robin,,169,-1,2008,,,
Robin,,170,-1,2008,,,
Robin,,170,-1,2008,,,
Robin,,171,-1,2008,,,
Robin,,171,-1,2008,,,
Robin,,172,-1,2008,,,
Robin,,172,-1,2008,,,
Robin,,173,-1,2008,,,
Robin,,173,-1,2008,,,
Robin,,174,-1,2008,,,
Robin,,174,-1,2008,,,
Robin,,175,-1,2008,,,
Robin,,175,-1,2008,,,
Robin,,175,-1,2008,,,
Robin,,7,-1,2007,,,
Robin,,7,-1,2007,,,
Robin Hood,,1,-1,2010,,,
Robins Spoiler Special,,1,-1,2008,,,
Robocop,,6,-1,2010,,,
Robotika - For A Few Rubles More,,1,-1,2007,,,
Robotika - For A Few Rubles More,,1,-1,2007,,,
Rock 'n' Roll Comics,,9,-1,1989,,,
Rock 'n' Roll Comics,,49,-1,1992,,,
Rock Bottom,,,-1,2006,,,
Rock N' Roll Comics 025,,666,-1,1991,,,
Rock N' Roll Comics 041,,666,-1,1992,,,
Rogue Angel - Teller of Tall Tales,,1,-1,2008,,,
Rogue Angel - Teller of Tall Tales,,2,-1,2008,,,
Rogue Angel - Teller of Tall Tales,,4,-1,2008,,,
The Royal Blood  - Sacrilegious Marriage,,1,-1,2010,,,
Runaways,,28,-1,2007,,,
Runaways,,28,-1,2007,,,
Runaways,,28,-1,2007,,,
Runaways,,29,-1,2008,,,
Runaways,,24,2,2007,,,
Runaways,,25,2,2007,,,
Runaways,,26,2,2007,,,
Runaways,,26,2,2007,,,
Runaways,,29,2,2008,,,
Rush City,,5,-1,2007,,,
S.H.I.E.L.D,,3,-1,2010,,,
S.H.I.E.L.D,,3,-1,2010,,,
S.H.I.E.L.D,,4,-1,2010,,,
S.H.I.E.L.D,,4,-1,2010,,,
S.H.I.E.L.D,,4,-1,2010,,,
S.H.I.E.L.D,,5,-1,2011,,,
S.H.I.E.L.D,,5,-1,2011,,,
Sable,,21,-1,1989,,,
Sable,,21,-1,1989,,,
The Sadhu 006,,1,-1,2007,,,
Sadhu - The Silent Ones    Whitewolf-DCP,,3,-1,2007,,,
Salem's Daughter,,5,-1,2010,,,
Salem: Queen of Thorns,Salem: Queen of Thorns #0,0,2008,2008,,,
Salem - Queen Of Thorns,,1,-1,2008,,,
Salem - Queen of Thorns,,1,-1,2008,,,
Salvation Run,,6,-1,2008,,,
Salvation Run,,7,-1,2008,,,
Salvation Run,Hellish New World,1,2008,2008,,,
Sandwalk Adventures,,23,-1,2001,,,
Sarge Snorkel 001,,10,-1,1973,,,
Sarge Snorkel 005,,11,-1,1974,,,
Sarge Snorkel 008,,5,-1,1975,,,
Savage Dragon,,135,-1,2008,,,
Savage Dragon,,163,-1,2010,,,
Savage Dragon,,166,-1,2010,,,
Savage Dragon,,167,-1,2010,,,
Savage Dragon,,168,-1,2011,,,
Savage Planet - Secrets of the Empire,,,-1,2007,,,
The Savage She-Hulk,,22,-1,2007,,,
Savage Tales,,6,-1,2008,,,
Savage Tales,,4,2007,2007,,,
Scalped,,41,-1,2010,,,
Scalped,,41,-1,2010,,,
Scalped,,43,-1,2011,,,
Scalped,,44,-1,2011,,,
Scalped,,44,-1,2011,,,
Scarlet,,2,-1,2010,,,
Scarlet,,2,-1,2010,,,
Scarlet,,3,-1,2010,,,
Scarlet,,3,-1,2010,,,
The Schizophrenic,,1,-1,2010,,,
Science Fiction & Fantasy Illustrated,,2,-1,2010,,,
Scooby-Doo,,25,-1,1999,,,
Scooby-Doo,,117,-1,2007,,,
Scooby-Doo,,118,-1,2007,,,
Scooby-Doo,,119,-1,2007,,,
Scooby-Doo,,120,-1,2007,,,
Scooby-Doo,,121,-1,2007,,,
Scooby-Doo,,122,-1,2007,,,
Scooby-Doo,,123,-1,2007,,,
Scooby-Doo,,124,-1,2007,,,
Scooby-Doo,,125,-1,2007,,,
Scooby-Doo,,128,-1,2008,,,
Scooby-Doo,,130,-1,2008,,,
Scooby-Doo,,132,-1,2008,,,
Scooby-Doo,,133,-1,2008,,,
Scooby-Doo,,134,-1,2008,,,
Scooby-Doo,,159,-1,2010,,,
Scooby-Doo,,159,-1,2010,,,
Scooby-Doo,,159,-1,2010,,,
Scooby-Doo - Where Are You,,2,-1,2010,,,
Scooby-Doo - Where Are You,,3,-1,2011,,,
Scooby-Doo - Where Are You,,4,-1,2011,,,
The Scorpion  - The Holy Valley,,3,-1,2010,,,
The Scorpion  - The Treasure of the Templars,,4,-1,2010,,,
The Scourge,,0,-1,2010,,,
The Scourge,,1,-1,2010,,,
The Scream,,3,-1,2008,,,
Scream,,4,-1,2008,,,
Scream Queen,,1,-1,2008,,,
Scream Queen,,2,-1,2008,,,
Screamland,,1,-1,2008,,,
Screamland,,2,-1,2008,,,
The Secret,,1,-1,2007,,,
The Secret,,2,-1,2007,,,
The Secret,,3,-1,2007,,,
The Secret,,4,-1,2007,,,
Secret Avengers,,3,-1,2010,,,
Secret Avengers,,3,-1,2010,,,
Secret Avengers,,5,-1,2010,,,
Secret Avengers,,5,-1,2010,,,
Secret Avengers,,6,-1,2010,,,
Secret Avengers,,6,-1,2010,,,
Secret Avengers,,7,-1,2011,,,
Secret Avengers,,7,-1,2011,,,
Secret Avengers,,7,-1,2011,,,
Secret Avengers,,8,-1,2011,,,
Secret Avengers,,8,-1,2011,,,
The Secret History - Book Four - The Keys Of Saint Peter,,,-1,2007,,,
The Secret History - Book One Genesis,,,-1,2007,,,
The Secret History - Book Three - The Grail Of Montsegur,,,-1,2007,,,
The Secret History - Book two Castle of the Djinns Genesis,,,-1,2007,,,
The Secret History Book  - The Watchers,,14,-1,-1,,,
Secret History of the Authority,,1,-1,-1,,,
Secret Invasion,,,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,1,-1,2008,,,
Secret Invasion,,2,-1,2008,,,
Secret Invasion,,2,-1,2008,,,
Secret Invasion,,2,-1,2008,,,
Secret Invasion,,2,-1,2008,,,
Secret Invasion,,2,-1,2008,,,
Secret Invasion,,3,-1,2008,,,
Secret Invasion,,3,-1,2008,,,
Secret Invasion,,3,-1,2008,,,
Secret Invasion,,4,-1,2008,,,
Secret Invasion,,4,-1,2008,,,
Secret Invasion,,4,-1,2008,,,
Secret Invasion-who do you trust,,,-1,2008,,,
Secret Invasion 03,,1,-1,2008,,,
Secret Invasion - Front Line,,1,-1,2008,,,
Secret Invasion - Frontline,,1,-1,2008,,,
Secret Invasion - Who Do You Trust,,,-1,2008,,,
Secret Invasion Fantastic four,,1,-1,2008,,,
Secret Invasion Fantastic Four,,1,-1,2008,,,
Secret Invasion Fantastic four,,2,-1,2008,,,
Secret Invasion Fantastic Four,,2,-1,2008,,,
SECRET INVASION FANTASTIC FOUR,,2,-1,2008,,,
Secret Invasion Fantastic four,,3,-1,2008,,,
Secret Invasion Saga,,,-1,2008,,,
Secret Invasion Saga,,,-1,2008,,,
Secret Six,,24,-1,2010,,,
Secret Six,,24,-1,2010,,,
Secret Six,,25,-1,2010,,,
Secret Six,,25,-1,2010,,,
Secret Six,,26,-1,2010,,,
Secret Six,,26,-1,2010,,,
Secret Six,,26,-1,2010,,,
Secret Six,,28,-1,2011,,,
Secret Six,,29,-1,2011,,,
Secret Warriors,,22,-1,2011,,,
Seductions,,1,-1,2008,,,
Serenity - Better Days,,1,-1,2008,,,
Serenity - Better Days,,2,-1,2008,,,
Serenity - Better Days,,3,-1,2008,,,
Sgt. Rock Special,,9,-1,1990,,,
Shadowhawk,,5,-1,2010,,,
Shadowland,,4,-1,2010,,,
Shadowland,,4,-1,2010,,,
Shadowland,,4,-1,2010,,,
Shadowland,,4,-1,2010,,,
Shadowland,,5,-1,2011,,,
Shadowland,,5,-1,2011,,,
Shadowland,,5,-1,2011,,,
Shadowland,,5,-1,2011,,,
Shadowland - After the Fall,,1,-1,2011,,,
Shadowland - Blood on the Streets,,2,-1,2010,,,
Shadowland - Blood on the Streets,,2,-1,2010,,,
Shadowland - Blood on the Streets,,2,-1,2010,,,
Shadowland - Blood on the Streets,,3,-1,2010,,,
Shadowland - Blood on the Streets,,4,-1,2011,,,
Shadowland - Daughters of the Shadow,,2,-1,2010,,,
Shadowland - Power Man,,2,-1,2010,,,
Shadowland - Power Man,,2,-1,2010,,,
Shadowland - Power Man,,4,-1,2011,,,
Shadowland After The Fall,,1,-1,2011,,,
Shadowland After The Fall,,1,-1,2011,,,
Shadowland Blood on the Streets,,3,-1,2010,,,
Shadowland Blood on the Streets,,3,-1,2010,,,
Shadowland Blood on the Streets,,4,-1,2011,,,
Shadowland Blood on the Streets,,4,-1,2011,,,
Shadowland Daughters of the Shadow,,2,-1,2010,,,
Shadowland Daughters of the Shadow,,2,-1,2010,,,
Shadowland Daughters of the Shadow,,3,-1,2010,,,
Shadowland Daughters of the Shadow,,3,-1,2010,,,
Shadowland Ghost Rider,,1,-1,2010,,,
Shadowland Ghost Rider,,1,-1,2010,,,
Shadowland Ghost Rider,,1,-1,2010,,,
Shadowland Moon Knight,,2,-1,2010,,,
Shadowland Moon Knight,,2,-1,2010,,,
Shadowland Moon Knight,,3,-1,2010,,,
Shadowland Moon Knight,,3,-1,2010,,,
Shadowland Power Man,,3,-1,2010,,,
Shadowland Power Man,,3,-1,2010,,,
Shadowland Power Man,,4,-1,2011,,,
Shadowland Power Man,,4,-1,2011,,,
Shadowland Spider-Man,,1,-1,2010,,,
Shadowland Spider-Man,,1,-1,2010,,,
Shadowpact,,9,-1,2007,,,
Shadowpact,,11,-1,2007,,,
Shadowpact,,11,-1,2007,,,
Shadowpact,,12,-1,2007,,,
Shadowpact,,12,-1,2007,,,
Shadowpact,,13,-1,2007,,,
Shadowpact,,14,-1,2007,,,
Shadowpact,,14,-1,2007,,,
Shadowpact,,15,-1,2007,,,
Shadowpact,,15,-1,2007,,,
Shadowpact,,16,-1,2007,,,
Shadowpact,,16,-1,2007,,,
Shadowpact,,17,-1,2007,,,
Shadowpact,,18,-1,2007,,,
Shadowpact,,19,-1,2008,,,
Shadowpact,,20,-1,2008,,,
Shadowpact,,20,-1,2008,,,
Shadowpact,,21,-1,2008,,,
Shadowpact,,21,-1,2008,,,
Shadowpact,,22,-1,2008,,,
Shadowpact,,22,-1,2008,,,
Shadowpact,,23,-1,2008,,,
Shadowpact,,23,-1,2008,,,
Shadowpact,,24,-1,2008,,,
Shadowpact,,25,-1,2008,,,
Shanda the Panda,,14,-1,1996,,,
Shanda the Panda,,14,-1,1996,,,
Shanna the She-Devil - Survival of the Fittest,,1,-1,2007,,,
Shanna the She-Devil - Survival of the Fittest,,2,-1,2007,,,
Shanna the She-Devil - Survival of the Fittest,,3,-1,2007,,,
She-Hulk,,19,-1,2007,,,
She-Hulk,,22,-1,2007,,,
She-Hulk,,22,-1,2007,,,
She-Hulk,,23,-1,2008,,,
She-Hulk,,26,-1,2008,,,
She-Hulk,,26,-1,2008,,,
She-Hulk,,27,-1,2008,,,
She-Hulk,,28,-1,2008,,,
She-Hulk,,29,-1,2008,,,
She-Hulk,,30,-1,2008,,,
She-Hulk,,31,-1,2008,,,
She-Hulk,,16,2,2007,,,
She-Hulk,,21,2,2007,,,
She-Hulk,,23,2,2008,,,
She-Hulk,,24,2,2008,,,
She-Hulk,,25,2,2008,,,
She-Hulks,,1,-1,2011,,,
She-Hulks,,1,-1,2011,,,
She-Hulks,,2,-1,2011,,,
She-Hulks,,3,-1,2011,,,
The Shield,,2,-1,2009,,,
The Shield,,3,-1,2010,,,
The Shield,,4,-1,2010,,,
The Shield,,8,-1,2010,,,
Shrapnel - Hubris,,1,-1,2010,,,
Shrek,,1,-1,2010,,,
Shrek,,1,-1,2010,,,
Shrek,,1,-1,2010,,,
Shrek,,2,-1,2010,,,
Shrek,,2,-1,2010,,,
Sidekick Super Summer Spectacular,,1,-1,2007,,,
Silent Hill - Past Life,,1,-1,2010,,,
Silent Hill - Past Life,,1,-1,2010,,,
Silent Hill - Past Life,,1,-1,2010,,,
Silent Hill - Past Life,,2,-1,2010,,,
Silent Hill - Past Life,,2,-1,2010,,,
Silent Hill - Past Life,,2,-1,2010,,,
Silent Hill - Past Life,,3,-1,2011,,,
Silent Hill - Past Life,,3,-1,2011,,,
Silent Hill - Sinner's Reward,,1,-1,2008,,,
Silent Hill - Sinner's Reward,,1,-1,2008,,,
Silent Hill - Sinner's Reward,,2,-1,2008,,,
Silent Hill - Sinner's Reward,,3,-1,2008,,,
Silent Hill - Sinner's Reward,,4,-1,2008,,,
Silent Hill Sinner's Reward,,1,-1,2008,,,
Silent War,,3,-1,2007,,,
Silent War,,4,-1,2007,,,
Silent War,,5,-1,2007,,,
Silent War,,6,-1,-1,,,
Silver Surfer - In Thy Name,,1,-1,2008,,,
Silver Surfer - In Thy Name,,2,-1,2008,,,
Silver Surfer - In Thy Name,,4,-1,2008,,,
Silver Surfer - Requiem,,2,-1,2007,,,
Silver Surfer - Requiem,,3,-1,2007,,,
Silver Surfer - Requiem,,4,-1,2007,,,
Silver Surfer Requiem,,1,-1,2007,,,
Silver Surfer Requiem,,2,-1,2007,,,
Silver Surfer Requiem,,3,-1,2007,,,
Simon Dark,,5,-1,2008,,,
Simon Dark,,6,-1,2008,,,
Simon Dark,,7,-1,2008,,,
Simpsons Comics,,170,-1,2010,,,
Simpsons Comics,,171,-1,2010,,,
Simpsons Comics,,171,-1,2010,,,
Simpsons Comics,,172,-1,2010,,,
Simpsons Comics,,173,-1,2010,,,
Simpsons Comics ,,174,-1,2011,,,
Simpsons Super Spectacular,,12,-1,2011,,,
Simpsons Super Spectacular,,12,-1,2011,,,
Simpsons Super Spectacular ,,12,-1,2010,,,
Simpsons Winter Wing Ding,,5,-1,2010,,,
Simpsons Winter Wing Ding,,5,-1,2010,,,
Simpsons Winter Wingding,,5,-1,2010,,,
Sinbad,,12,-1,2010,,,
Sinbad,,13,-1,2010,,,
Sinbad - Rogue of Mars,,1,-1,2007,,,
Sinkha  Hyleyn,,1,-1,-1,,,
The Sisterhood,,1,-1,2008,,,
The Sisterhood,,1,-1,2008,,,
The Sisterhood,,1,-1,2008,,,
The Sixth Gun,,1,-1,2010,,,
The Sixth Gun,,2,-1,2010,,,
The Sixth Gun,,3,-1,2010,,,
The Sixth Gun,,3,-1,2010,,,
The Sixth Gun,,4,-1,2010,,,
The Sixth Gun,,5,-1,2010,,,
The Sixth Gun,,5,-1,2010,,,
The Sixth Gun,,6,-1,2010,,,
The Sixth Gun,,7,-1,2010,,,
Skaar - Son of Hulk,,1,-1,2008,,,
The Sketchbook Series Number One - The Melting Pot Sketchbook,,,-1,1990,,,
Sketchers Presents Kewl Breez and his Air-Cooled Airators,,,-1,2008,,,
Skullkickers,,1,-1,2010,,,
Skullkickers,,1,-1,2010,,,
Skullkickers,,1,-1,2010,,,
Skullkickers,,1,-1,2010,,,
Skullkickers,,3,-1,2010,,,
Skullkickers,,4,-1,2010,,,
Sky Sharks,,3,-1,2007,,,
The Smurfs - Halloween,,,-1,2010,,,
The Smurfs Halloween,,,-1,2010,,,
Snake Woman,,7,-1,-1,,,
Snake Woman,,8,-1,2007,,,
Snake Woman,,9,-1,2007,,,
Snaked,,3,-1,2008,,,
Snaked,,3,-1,2008,,,
The Soap Lady,,,-1,2001,,,
Sock Monkey - The Inches Incident,,4,-1,2007,,,
Sojourn  WebComic,,35,-1,-1,,,
Sojourn  WebComic,,36,-1,-1,,,
Soldier Zero,,4,-1,2011,,,
Soleil Sampler,,,-1,-1,,,
Solitaria,,1,-1,2007,,,
Sonic the Hedgehog,,215,-1,2010,,,
Sonic the Hedgehog,,215,-1,2010,,,
Sonic the Hedgehog,,216,-1,2010,,,
Sonic the Hedgehog,,216,-1,2010,,,
Sonic the Hedgehog,,217,-1,2010,,,
Sonic the Hedgehog,,217,-1,2010,,,
Sonic the Hedgehog,,218,-1,2010,,,
Sonic the Hedgehog,,218,-1,2010,,,
Sonic the Hedgehog,,219,-1,2011,,,
Sonic the Hedgehog,,219,-1,2011,,,
Sonic the Hedgehog,,220,-1,2011,,,
Sonic the Hedgehog,,220,-1,2011,,,
Sonic Universe,,18,-1,2010,,,
Sonic Universe,,20,-1,2010,,,
Sonic Universe,,20,-1,2010,,,
Sonic Universe,,21,-1,2010,,,
Sonic Universe,,22,-1,2011,,,
Sonic Universe,,22,-1,2011,,,
Sonic Universe,,23,-1,2011,,,
Sonic Universe,,23,-1,2011,,,
Sorrow,,1,-1,2007,,,
Sorrow,,1,-1,2007,,,
Sorrow,,2,-1,2007,,,
Space Doubles,,2,-1,2008,,,
Spacehawk by Basil Wolverton,,,-1,-1,,,
Sparta USA,,6,-1,2010,,,
Spawn,,172,-1,2007,,,
Spawn,,173,-1,2007,,,
Spawn,,174,-1,2008,,,
Spawn,,199,-1,2010,,,
Spawn,,199,-1,2010,,,
Spawn,,200,-1,2011,,,
Spawn,,200,-1,2011,,,
Spawn Godslayer,,,-1,2007,,,
Special Forces,,1,-1,2007,,,
Spice & Wolf,,,1,2010,,,
