Series,,Number,,Year,,,
The Devil's Panties,,6,-1,2006,,,
The Devil's Panties,,9,-1,2007,,,
The Devil's Panties,,10,-1,2007,,,
The Devil's Panties,,12,-1,2007,,,
Dexter's Laboratory,,14,-1,2000,,,
The Diary of Molly Fredrickson - Peanut Butter,,,4,2010,,,
Diesel Sweeties,,,3,2008,,,
Disney Adventures Presents - Pirates of the Caribbean - The Haunting of Jack Sparrow,,,-1,2007,,,
Disney Adventures Presents - Pirates of the Caribbean - The Journey of Will Turner,,,-1,2007,,,
DMZ,,61,-1,2011,,,
DMZ,,61,-1,2011,,,
DMZ,,61,-1,2011,,,
The DNA Hacker Chronicles,,1,-1,2008,,,
Do Androids Dream of Electric Sheep,,18,-1,2010,,,
Do Androids Dream of Electric Sheep - Dust to Dust,,8,-1,2010,,,
Doc Macabre,,2,-1,2011,,,
Doc Savage,,10,-1,2011,,,
Doc Savage,,10,-1,2011,,,
Doctor Strange,,11,-1,1975,,,
Doctor Strange,,12,-1,1976,,,
Doctor Strange,,13,-1,1976,,,
Doctor Strange,,14,-1,1976,,,
Doctor Strange,,15,-1,1976,,,
Doctor Who,,1,-1,2011,,,
Doctor Who,,1,-1,2011,,,
Doctor Who,,1,-1,2011,,,
Donald Duck,,32,-1,2010,,,
Donald Duck ,,362,-1,2011,,,
Donald Duck and Friends,,361,-1,2010,,,
Donald Duck and Friends,,362,-1,2011,,,
Doom Patrol,,18,-1,2011,,,
Doom Patrol,,18,5,2011,,,
Doorways,,3,-1,2011,,,
Dracula - The Company of Monsters,,5,-1,2010,,,
The Draw,,,-1,2008,,,
Draw,,19,-1,2010,,,
The Dreamery,,1,-1,1986,,,
The Dreamery,,14,-1,1989,,,
Dungeons & Dragons,,3,-1,2011,,,
Dylan Dog - Daisy,,,-1,2010,,,
Echoes,,1,-1,2010,,,
The Econauts,,,-1,2008,,,
Eddy Current,,1,-1,1987,,,
Eddy Current,,2,-1,1987,,,
Eddy Current,,3,-1,1987,,,
Eddy Current,,4,-1,1987,,,
Eddy Current,,5,-1,1988,,,
Eddy Current,,6,-1,1988,,,
Edge of Doom,,3,-1,2011,,,
Elephantmen,,29,-1,2010,,,
The End League,,2,-1,2008,,,
The End League,,2,-1,2008,,,
The End League,,3,-1,2008,,,
The End League,,3,-1,2008,,,
The Engineer,,2,-1,2008,,,
ESPN Magazine NBA,,,-1,2010,,,
Essential Hulk,,,6,-1,,,
The Eternals,,1,-1,2008,,,
The Evil Dead,,2,-1,2008,,,
The Example,,,-1,2009,,,
Fallen Angel - Return of the Son,,1,-1,2011,,,
Fantastic Four,,586,-1,2011,,,
Fantastic Four,,587,-1,2011,,,
Fantastic Four,,587,-1,2011,,,
Fantastic Four,,587,-1,2011,,,
Farscape,,15,-1,2011,,,
Fat Albert 022,,12,-1,1977,,,
Fell   Citizen Pain DCP,,1,-1,2006,,,
Fevre Dream,,10,-1,2011,,,
The Flash,,4,-1,2010,,,
The Flash,,5,-1,2010,,,
The Flash,,5,-1,2010,,,
The Flash,,6,-1,2011,,,
The Flash,,6,-1,2011,,,
The Flash,,7,-1,2011,,,
The Flash,,7,-1,2011,,,
The Flash,,8,-1,2011,,,
The Flash,,8,-1,2011,,,
The Flash,,231,-1,2007,,,
The Flash,,231,-1,2007,,,
The Flash,,232,-1,2007,,,
The Flash,,232,-1,2007,,,
The Flash,,233,-1,2007,,,
The Flash,,233,-1,2007,,,
The Flash,,234,-1,2008,,,
The Flash,,234,-1,2008,,,
The Flash,,235,-1,2008,,,
The Flash,,235,-1,2008,,,
The Flash,,236,-1,2008,,,
The Flash,,236,-1,2008,,,
The Flash,,237,-1,2008,,,
The Flash,,237,-1,2008,,,
The Flash,,237,-1,2008,,,
The Flash,,238,-1,2008,,,
The Flash,,238,-1,2008,,,
The Flash,,238,-1,2008,,,
The Flash,,239,-1,2008,,,
The Flash,,239,-1,2008,,,
The Flash,,239,-1,2008,,,
The Flash,,240,-1,2008,,,
The Flash,,240,-1,2008,,,
The Flash,,240,-1,2008,,,
The Flash,,241,-1,2008,,,
The Flash,,241,-1,2008,,,
The Flash,,241,-1,2008,,,
The Flash,,242,-1,2008,,,
The Flash,,242,-1,2008,,,
The Flash,,242,-1,2008,,,
The Flash,,5,3,2010,,,
The Flash,,5,3,2010,,,
The Flash 80 Page Giant,,1,-1,2007,,,
The Flash 238,,1,-1,2008,,,
The Flash 241,,1,-1,2008,,,
The Flash - The Fastest Man Alive,,8,-1,2007,,,
The Flash - The Fastest Man Alive,,9,-1,2007,,,
The Flash - The Fastest Man Alive,,11,-1,2007,,,
The Flash - The Fastest Man Alive,,12,-1,2007,,,
The Flash - The Fastest Man Alive,,13,-1,2007,,,
The Flash      CamelotScans-DCP,,234,-1,2008,,,
The Flash The Fastest Man Alive,,10,-1,2007,,,
The Foundation,,2,-1,2008,,,
The Foundation,,3,-1,2008,,,
The Foundation,,4,-1,2008,,,
The Foundation,,5,-1,2008,,,
The Foundation 04,,1,-1,2008,,,
The Four Horsemen,,4,-1,2007,,,
The Fourth Horseman,,1,-1,2007,,,
The Fourth Horseman,,2,-1,2007,,,
Fraggle Rock,,1,-1,2011,,,
Freak Angels,,120,-1,2011,,,
Freak Angels,,121,-1,2011,,,
Freak Angels,,122,-1,2011,,,
The Friendly Ghost,,1,-1,1989,,,
The Friendly Ghost,,2,-1,1970,,,
The Friendly Ghost,,3,-1,1980,,,
The Friendly Ghost,,3,-1,1988,,,
The Friendly Ghost,,4,-1,1981,,,
The Friendly Ghost,,6,-1,1960,,,
The Friendly Ghost,,8,-1,1987,,,
The Friendly Ghost,,9,-1,1987,,,
The Friendly Ghost,,10,-1,1987,,,
The Friendly Ghost,,11,-1,1964,,,
The Friendly Ghost,,11,-1,1969,,,
The Friendly Ghost,,11,-1,1988,,,
The Friendly Ghost,,12,-1,1962,,,
The Friendly Ghost,,12,-1,1978,,,
Fright 02,,666,-1,1988,,,
Fringe - Tales from the Fringe,,3,-1,2010,,,
Fringe - Tales from the Fringe,,4,-1,2010,,,
Fringe - Tales from the Fringe,,5,-1,2010,,,
Fringe - Tales from the Fringe,,6,-1,2010,,,
G-Fan,,92,-1,2010,,,
G.I. Combat,,1,-1,2010,,,
G.I. Joe,,21,-1,2010,,,
G.I. Joe,,22,-1,2010,,,
G.I. Joe,,23,-1,2010,,,
G.I. Joe,,24,-1,2010,,,
G.I. Joe,,25,-1,2010,,,
G.I. Joe,,25,-1,2011,,,
G.I. Joe - A Real American Hero,,156,-1,2010,,,
G.I. Joe - A Real American Hero,,157,-1,2010,,,
G.I. Joe - A Real American Hero,,158,-1,2010,,,
G.I. Joe - A Real American Hero,,159,-1,2010,,,
G.I. Joe - A Real American Hero,,160,-1,2010,,,
G.I. Joe - A Real American Hero,,161,-1,2010,,,
G.I. Joe - America's Elite,,30,-1,2007,,,
G.I. Joe - America's Elite,,31,-1,-1,,,
G.I. Joe - America's Elite,,32,-1,2007,,,
