b.CVDB_ID, b.Series, b.Number, b.Volume, b.FileName, b.PageCount, b.FileSize, b.ID 
None, Grimm Fairy Tales - Inferno, 5, , Grimm Fairy Tales - Inferno 05 (2010) (Minutemen-CH3OH).cbz, 23, 18.6823673248, ca03fc95-a649-4224-b8e9-00f4d17d6562
None, Grimm Fairy Tales Inferno, 2, , Grimm Fairy Tales Inferno 002(c2c)(Zenescope)(2010)(YZ1).cbz, 35, 15.0007181168, d515a144-f1ea-4dca-8795-14c8198253ed
None, Grimm Fairy Tales Inferno, 3, , Grimm Fairy Tales Inferno 003(c2c)(Zenescope)(2010)(YZ1).cbz, 36, 14.2864799500, 413ea429-b17d-4d01-a956-c3c1fa5cda13
None, Grimm Fairy Tales Inferno, 4, , Grimm Fairy Tales Inferno 004(c2c)(Zenescope)(2010)(YZ1).cbz, 32, 23.1891975403, 470a3359-c1da-4004-a88c-6ba105a174e1
None, Grimm Fairy Tales - Neverland, 4, , Grimm Fairy Tales - Neverland 04 (2010) (c2c) (GreenGiant-DCP).cbz, 35, 16.9402275085, 729d6ce7-b751-4667-97bc-55095c86b07a
None, Grimm Fairy Tales - Return to Wonderland Cover Gallery, 1, , Grimm Fairy Tales - Return to Wonderland Cover Gallery 01 (2008) (c2c) (greengiant-DCP).cbz, 26, 32.3648290634, dea263c6-f75e-4627-86a0-34251e4c2a6c
None, Grimm Fairy Tales - Return to Wonderland, 5, , Grimm Fairy Tales - Return to Wonderland 05 (2007) (c2c) (greengiant-DCP).cbz, 33, 13.8253870010, 78086965-7a60-4466-a7c0-990a3503bc54
None, Grimm Fairy Tales - Return To Wonderland, 5, , Grimm Fairy Tales - Return To Wonderland 05 (of 6) (2007) (Minutemen-DarthCoochie).cbz, 35, 29.8732023239, 44c6736c-9ad8-492b-adea-637631def392
None, Grimm Fairy Tales - Return to Wonderland, 6, , Grimm Fairy Tales - Return to Wonderland 06 (2008) (c2c) (greengiant-DCP).cbz, 39, 19.3589725494, ebf1d19f-8d4b-4c70-893c-84729b3592ba
None, Grimm Fairy Tales - Return To Wonderland, 6, , Grimm Fairy Tales - Return To Wonderland 06 (of 6) (2008) (Minutemen-DarthCoochie).cbz, 33, 29.1895494461, 0c0db8ba-3fbd-4a74-b25e-4ad067f16349
None, Grimm Fairy Tales - Swimsuit Edition, 1, , Grimm Fairy Tales - Swimsuit Edition 01 (2010) (2 covers c2c) (GreenGiant-DCP).cbz, 47, 23.2925634384, c0ed4bc2-9b4d-4cd5-af8b-487cec53ebf0
None, Grimm Fairy Tales - The Piper, 1, , Grimm Fairy Tales - The Piper 01 (2008) (c2c) (greengiant-DCP).cbz, 33, 13.8357095718, 47cecee0-d1e6-4290-b39c-54f00306c5be
None, Grimm Fairy Tales - The Piper, 2, , Grimm Fairy Tales - The Piper 02 (2008) (c2c) (greengiant-DCP).cbz, 32, 14.1912631989, b7758a10-6dd0-44e1-9dc1-a4711cece23a
None, Grimm Fairy Tales - The Piper, 2, , Grimm Fairy Tales - The Piper 02 (2008) (c2c) (Minutemen-Darthscanner & coochie).cbz, 33, 24.6048097610, 36093a8d-60a5-41e8-b7a4-66346f73901b
None, Grimm Fairy Tales - The Piper, 3, , Grimm Fairy Tales - The Piper 03 (2008) (c2c) (greengiant-DCP).cbz, 33, 12.9584341049, 88106694-41e5-4478-b010-de9d4b33a3fd
None, Grimm Fairy Tales - The Piper, 4, , Grimm Fairy Tales - The Piper 04 (2008) (c2c) (greengiant-DCP).cbz, 33, 13.6170845032, febbb2a5-f8b6-4c32-a2a9-13c2aa755fe4
None, Grimm Fairy Tales Halloween Special, 2, , Grimm Fairy Tales Halloween Special 2(c2c)(Zenescope)(2010)(YZ1).cbz, 50, 25.3269214630, e71db7e6-1f88-44b0-87ca-855f7ba32b2b
None, Grimm Fairy Tales Halloween Special, 2, , Grimm Fairy Tales Halloween Special 02 (2010) (Minutemen-DarthTremens).cbz, 38, 34.8325595856, fef33142-bfa5-4efe-9be4-07cb7ac17003
None, Grimm Fairy Tales Holiday Edition, 2, , Grimm Fairy Tales Holiday Edition 2(c2c)(2 covers)(Zenescope)(2010)(YZ1).cbz, 55, 27.6877336502, 14411f25-b6b1-430b-bcc8-d5c046cea867
None, Grimm Fairy Tales Holiday Edition, 2, , Grimm Fairy Tales Holiday Edition 02 (2010) (c2c) (Minutemen-DarthTremens).cbz, 52, 41.8451080322, 218ba429-ac28-4d20-88e5-74e5acfec89d
None, Grimm Fairy Tales LAS VEGAS, , , Grimm Fairy Tales LAS VEGAS Annual (2010) (Minutemen-DarthTremens).cbz, 51, 39.8557958603, fc57e325-0439-4760-9202-77508308b9e5
None, Grimm Fairy Tales Mini Cover Pack, 1, , Grimm Fairy Tales Mini Cover Pack 01 (johnnyfiveisalive-DCP).cbz, 6, 4.60071277618, 0cb26689-3c7e-4f48-89fd-82bb172f6c28
None, Grimm Fairy Tales Myths And Legends, 1, , Grimm Fairy Tales Myths And Legends 1(c2c)(3 covers)(Zenescope)(2011)(YZ1).cbz, 36, 19.8283014297, af263790-b3dd-4248-a717-5a256f9151c5
None, Grimm Fairy Tales Swimsuit Special 2010, 1, , Grimm Fairy Tales Swimsuit Special 2010 1(c2c)(Zenescope)(2010)(YZ1).cbz, 46, 20.0277042389, 9e4b2505-2f3b-4823-860f-16e3b7543a0a
None, Groo - Hell On Earth, 3, , Groo - Hell On Earth 03 (of 04) (2008) (metaldave-DCP).cbz, 37, 20.8785629272, deb8e9d0-e8ee-4f12-95f4-14763c07590c
None, Groo - Hell On Earth, 4, , Groo - Hell On Earth 04 (of 4) (2008) (metaldave-DCP).cbz, 36, 23.7837066650, 52acc71f-ca5b-4f06-8339-8e7ad440cb5b
None, Groo - One For One, , , Groo - One For One (2010) (c2c) (LinktheBeggar-DCP).cbz, 32, 35.8835821152, 7642b198-e955-466b-84d9-4ae1d2ca37d9
None, Guardians of the Galaxy, , , Guardians of the Galaxy (2008) (mini poster) (Minutemen-RainsDesire).cbz, 2, 1.68946933746, eadf98ad-1271-4dab-a7b6-52ae9cf83368
None, Guardians of the Galaxy, 1, , Guardians of the Galaxy 001 (2008) (FB-DCP).cbz, 35, 18.9571619034, 85afda16-9d1c-4601-9015-6b8843e3f41c
None, Guardians of the Galaxy, 1, , Guardians of the Galaxy 01 (2008) (World'sFinest-DCP).cbz, 32, 20.5283107758, f5c54687-fbef-457a-9d7a-d7e81376a08d
None, Guardians Of The Galaxy, 1, , Guardians Of The Galaxy 01 (2008) (Minutemen-DarthScanner).cbz, 26, 21.8029193878, 00686f7d-15b6-4bd6-bb04-af5da65f7b89
None, Guardians of the Galaxy, 1, , Guardians of the Galaxy 001 (2008) (fixed) (Minutemen-DarthScanner).cbz, 27, 22.6464872360, 9b2fecf0-5a05-429c-a520-56acbb57efb4
None, Guardians of the Galaxy, 1, , Guardians of the Galaxy 001 (2008) (Minutemen-Zone).cbz, 27, 29.5307970047, 442754af-ce8a-4dd3-aaea-96cb48f8f548
None, Guardians of the Galaxy, 2, , Guardians of the Galaxy 002 (2008) (FB-DCP).cbz, 34, 20.3187389374, 01c79de9-38ef-4aca-bf10-46efb4fc3acd
None, Guardians of the Galaxy, 2, , Guardians of the Galaxy 002 - 2008 (Minutemen-Zone).cbz, 24, 27.8232831955, ba4793b9-03c0-478a-8fc4-8558a4c1b653
None, Guardians of the Galaxy, 3, , Guardians of the Galaxy 003 (2008) (Minutemen-ReZone).cbz, 25, 20.2757081985, ce0ee87b-917f-449c-98f0-361f83521bb0
None, Guardians of the Galaxy, 1, 2, Guardians of the Galaxy v2 01 (2nd print cover) (Kryptonia-DCP).cbz, 2, 1.94926452637, 44a17b0a-d3d5-4227-9cd6-cccbd47e2cae
None, Guardians of the Galaxy, 2, 2, Guardians of the Galaxy v2 02 (2008) (Kryptonia-DCP).cbz, 24, 13.6708536148, cc82ef0d-2db6-4baf-b55b-dc90115d435c
None, Guardians of the Galaxy, 3, 2, Guardians of the Galaxy v2 03 (2008) (World'sFinest-DCP).cbz, 25, 18.9622030258, 8dffdf5b-4927-4cd6-92dc-e4c54b2db3aa
